date,category,value,type
2025-07-01,Salute & Prevenzione,52.47,outcome
2025-07-02,Spesa & Alimentari,81.18,outcome
2025-07-02,Cena & Ristoranti,6.80,outcome
2025-07-03,Sport & Tempo Libero,6.21,outcome
2025-07-03,Shopping Online,3.00,outcome
2025-07-04,Spesa & Alimentari,149.75,outcome
2025-07-04,Colazione & Caffè,5.05,outcome
2025-07-04,Spesa & Alimentari,140.98,outcome
2025-07-05,Colazione & Caffè,10.06,outcome
2025-07-06,Shopping & Abbigliamento,32.03,outcome
2025-07-08,Spesa & Alimentari,5.56,outcome
2025-07-08,Spesa & Alimentari,17.58,outcome
2025-07-08,Bollette,116.94,outcome
2025-07-09,Sport & Tempo Libero,12.42,outcome
2025-07-10,Cena & Ristoranti,53.59,outcome
2025-07-10,Cena & Ristoranti,12.96,outcome
2025-07-11,Sosta & Parcheggi,27.00,outcome
2025-07-11,Colazione & Caffè,3.00,outcome
2025-07-13,Shopping Online,151.28,outcome
2025-07-13,Sport & Tempo Libero,31.38,outcome
2025-07-14,Spesa & Alimentari,15.51,outcome
2025-07-14,Auto & Trasporti,18.76,outcome
2025-07-14,Sport & Tempo Libero,17.57,outcome
2025-07-14,Sport & Tempo Libero,7.08,outcome
2025-07-15,Cena & Ristoranti,35.15,outcome
2025-07-15,Bollette,174.72,outcome
2025-07-16,Colazione & Caffè,3.00,outcome
2025-07-16,Viaggi & Trasporti,70.17,outcome
2025-07-16,Colazione & Caffè,4.81,outcome
2025-07-18,Sosta & Parcheggi,16.69,outcome
2025-07-18,Abbonamenti & Streaming,10.38,outcome
2025-07-19,Spesa & Alimentari,34.59,outcome
2025-07-19,Abbonamenti & Streaming,9.71,outcome
2025-07-19,Spesa & Alimentari,9.61,outcome
2025-07-20,Shopping & Abbigliamento,199.01,outcome
2025-07-20,Cena & Ristoranti,85.14,outcome
2025-07-20,Colazione & Caffè,4.13,outcome
2025-07-21,Colazione & Caffè,3.00,outcome
2025-07-22,Auto & Trasporti,23.15,outcome
2025-07-22,Cena & Ristoranti,4.95,outcome
2025-07-23,Abbonamenti & Streaming,51.15,outcome
2025-07-23,Da categorizzare,271.73,income
2025-07-23,Viaggi & Trasporti,3.15,outcome
2025-07-23,Cena & Ristoranti,3.00,outcome
2025-07-25,Luce & Gas,83.60,outcome
2025-07-27,Stipendio,3329.53,income
2025-07-27,Spesa & Alimentari,4.28,outcome
2025-07-28,Spesa & Alimentari,9.78,outcome
2025-08-01,Cena & Ristoranti,8.57,outcome
2025-08-01,Abbonamenti & Streaming,10.73,outcome
2025-08-02,Salute & Prevenzione,96.21,outcome
2025-08-03,Da categorizzare,342.35,income
2025-08-04,Colazione & Caffè,9.53,outcome
2025-08-04,Colazione & Caffè,3.00,outcome
2025-08-05,Abbonamenti & Streaming,18.52,outcome
2025-08-06,Sosta & Parcheggi,114.65,outcome
2025-08-07,Colazione & Caffè,3.00,outcome
2025-08-07,Bollette,66.07,outcome
2025-08-08,Spesa & Alimentari,108.17,outcome
2025-08-08,Colazione & Caffè,12.37,outcome
2025-08-08,Spesa & Alimentari,47.54,outcome
2025-08-08,Spesa & Alimentari,30.09,outcome
