datetime,description,value,type
2026-06-01 08:15,ESSO MILANO,45.50,outcome
2026-06-01 12:30,FARMACIA BOOTS,18.90,outcome
2026-06-02 09:05,STIPENDIO GIUGNO,2450.00,income
2026-06-02 18:00,ESSELUNGA RIPAMONTI,63.40,outcome
2026-06-03 20:15,JYO JAPANESE RESTAURAN,38.00,outcome
2026-06-04 07:45,BAR CENTRALE,3.20,outcome
2026-06-05 19:30,NETFLIX.COM,15.99,outcome
2026-06-06 10:00,DECATHLON MILANO,54.00,outcome
2026-06-07 13:15,Q8 AUTOSTRADA,52.10,outcome
2026-06-08 11:00,ENEL ENERGIA,88.30,outcome
2026-06-09 21:00,UBER TRIP,12.50,outcome
2026-06-10 15:40,NEGOZIO SCONOSCIUTO XYZ,29.90,outcome
